Keyword,Year,Month,Day,Hour
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
headache,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
trump,2018,12,2,17
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
headache,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
zika,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
headache,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
flu,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
trump,2018,12,2,18
